buoyid,alpha_real,alpha_imag
K383D20200914H03,0.005025919884029929,-0.027167230979455222
K384D20200910H11,0.046119367266491365,-0.01525392467895079
K385D20200910H11,0.04084190289578088,-0.01183981678586545
K385D20200918H22,0.012124266400293933,0.013494777675769827
K386D20200910H11,0.0380796937495051,-0.012945525112311576
K387D20200910H11,0.04027803184977178,0.03888719535252943
K387D20200916H20,-0.013955439446425626,0.022587735121668832
K388D20200910H11,-0.006304377557915764,-0.023179571532526207
K389D20200910H12,-0.02308773504688209,0.0144186726083554
K590D20200911H11,0.03010971018163168,0.0023527953235685985
M501D20200911H12,-0.00919148860676991,0.02404812075563422
M501D20200917H12,-0.10316652322538745,0.1467986413032277
M502D20200910H18,0.05375346297821386,0.025902384213497512
M503D20200910H18,0.11185745386487887,0.07770395296333259
M504D20200910H18,0.05534092460380068,0.040125662301328524
M506D20200910H18,0.05934095581332836,0.02298203867637599
M507D20200910H17,0.04820861937245364,0.026440049505121056
M508D20200910H18,0.1796462450421038,0.13162920377262471
M509D20200910H17,0.016135577274767946,0.021630495401896755
M510D20200910H17,0.013560138644290691,0.024581723645343247
M510D20200915H10,0.03167178954103501,0.012885148185095499
M512D20200910H18,0.04297139864195107,0.015221537836588242
M513D20200910H17,0.049908056672536324,0.02847580657140814
M514D20200910H17,0.04376687708178826,0.0108905156342657
M515D20200910H17,0.030848731370315553,0.06538836506159539
M516D20200910H17,0.05784504262655862,0.042109776723350645
M517D20200910H17,0.046800299917698795,0.03535230174149706
M517D20200915H07,0.007558013719838655,-0.0014101350499199324
M519D20200910H19,0.029834473369267648,0.0426916671497169
M520D20200910H17,0.0437697058515834,0.018810784602463396
M521D20200910H17,0.017926307429826663,0.026803458752360988
M522D20200910H18,0.0417717485098597,0.024545623731951724
M523D20200910H17,0.023944149212131408,0.03650548551246933
M523D20200916H05,-0.051531639848292426,-0.04444620226315971
M524D20200910H17,0.04940259075340994,0.02068674453981412
M526D20200910H18,0.1202334377836055,0.11822601685030545
